Seitenname,Target.ID
AFD Kreisverband Bautzen,110578221607093
AfD-Fraktion Bautzen,101557628350414
AfD Görlitz,250783768614772
AfD-Fraktion im Kreistag Görlitz,109073907475881
AfD für den Landkreis Görlitz,104548374653555
AfD SOE,595711557117202
Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge,595711557117202
AfD-Regionalgruppe Sächsische Schweiz,422561445165999
AfD-Fraktion Dresden,1515732335370526
AfD Dresden,251334592182645
AfD Meißen,187090114788085
AfD-Fraktion im Kreistag Meißen,588743467904632
AfD Stadtratsfraktion Meißen,353818877820451
AfD-Freundeskreis Meißen,688212668266154
AfD Mittelsachsen,495527383854650
AfD Kreisverband Nordsachsen,2003969009899899
AfD-Fraktion Leipzig,1858857064334898
AfD Leipzig,247157868785133
AfD-Kreisverband Landkreis Leipzig,1791415457766265
AfD Zwickau,1396177753953939
AfD - Stadtratsfraktion Chemnitz,827229030698545
AfD Kreisverband Chemnitz,833335743350570
AfD Erzgebirge,1468529566715472
AfD Vogtland,698584363837723
AfD Kreisverband Eichsfeld,177826962646157
AfD Erfurt,736645083395958
AfD Gera,1766385526933906
AfD-Fraktion im Geraer Stadtrat,386729421957416
AfD Gera Jena SHK,1462921697264472
AfD Kreistagsfraktion Ahrweiler,2306146329417737
AfD Kreisverband Ahrweiler,913193188727800
AfD Alzey-Worms,112631919091769
AfD Kreistagsfraktion Alzey-Worms,586441601884489
AfD Kreisverband Bad Dürkheim,447092318754079
AfD-Fraktion im Kreistag Bad Dürkheim,100969442572194
AfD Kreisverband Bad Kreuznach,410716272376108
AfD-Fraktion Stadtrat Bad Kreuznach,107906931512023
AfD Bernkastel-Wittlich,1399423500362389





