"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1383,"2026-03-30",1364,"2026-03-23",19,1.39,"+19"
"AfD-Fraktion Bautzen",5528,"2026-03-30",5534,"2026-03-23",-6,-0.11,"-6"
"AfD Görlitz",5609,"2026-03-30",5613,"2026-03-23",-4,-0.07,"-4"
"AfD-Fraktion im Kreistag Görlitz",5923,"2026-03-30",5923,"2026-03-23",0,0,"0"
"AfD für den Landkreis Görlitz",6084,"2026-03-30",6090,"2026-03-23",-6,-0.1,"-6"
"AfD SOE",5752,"2026-03-30",5746,"2026-03-23",6,0.1,"+6"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5752,"2026-03-30",5746,"2026-03-23",6,0.1,"+6"
"AfD-Regionalgruppe Sächsische Schweiz",1758,"2026-03-30",1719,"2026-03-23",39,2.27,"+39"
"AfD-Fraktion Dresden",8280,"2026-03-30",8270,"2026-03-23",10,0.12,"+10"
"AfD Dresden",8918,"2026-03-30",8903,"2026-03-23",15,0.17,"+15"
"AfD Meißen",17928,"2026-03-30",17911,"2026-03-23",17,0.09,"+17"
"AfD-Fraktion im Kreistag Meißen",5347,"2026-03-30",5349,"2026-03-23",-2,-0.04,"-2"
"AfD Stadtratsfraktion Meißen",3859,"2026-03-30",3858,"2026-03-23",1,0.03,"+1"
"AfD-Freundeskreis Meißen",NA,"2026-03-30",1376,"2026-03-23",NA,100,"0"
"AfD Mittelsachsen",3686,"2026-03-30",3688,"2026-03-23",-2,-0.05,"-2"
"AfD Kreisverband Nordsachsen",3008,"2026-03-30",2981,"2026-03-23",27,0.91,"+27"
"AfD-Fraktion Leipzig",9246,"2026-03-30",9225,"2026-03-23",21,0.23,"+21"
"AfD Leipzig",8263,"2026-03-30",8272,"2026-03-23",-9,-0.11,"-9"
"AfD-Kreisverband Landkreis Leipzig",7774,"2026-03-30",7782,"2026-03-23",-8,-0.1,"-8"
"AfD Zwickau",14224,"2026-03-30",14227,"2026-03-23",-3,-0.02,"-3"
"AfD - Stadtratsfraktion Chemnitz",4865,"2026-03-30",4865,"2026-03-23",0,0,"0"
"AfD Kreisverband Chemnitz",19201,"2026-03-30",19197,"2026-03-23",4,0.02,"+4"
"AfD Erzgebirge",8778,"2026-03-30",8783,"2026-03-23",-5,-0.06,"-5"
"AfD Vogtland",4542,"2026-03-30",4517,"2026-03-23",25,0.55,"+25"
"AfD Kreisverband Eichsfeld",5643,"2026-03-30",NA,"2026-03-23",5643,100,"0"
"AfD Erfurt",8748,"2026-03-30",8683,"2026-03-23",65,0.75,"+65"
"AfD Gera",9267,"2026-03-30",9215,"2026-03-23",52,0.56,"+52"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-03-30",464,"2026-03-23",0,0,"0"
"AfD Gera Jena SHK",8475,"2026-03-30",8485,"2026-03-23",-10,-0.12,"-10"
"AfD Kreistagsfraktion Ahrweiler",6009,"2026-03-30",6017,"2026-03-23",-8,-0.13,"-8"
"AfD Kreisverband Ahrweiler",5396,"2026-03-30",5387,"2026-03-23",9,0.17,"+9"
"AfD Alzey-Worms",4652,"2026-03-30",4612,"2026-03-23",40,0.87,"+40"
"AfD Kreistagsfraktion Alzey-Worms",3176,"2026-03-30",3172,"2026-03-23",4,0.13,"+4"
"AfD Kreisverband Bad Dürkheim",6335,"2026-03-30",6328,"2026-03-23",7,0.11,"+7"
"AfD-Fraktion im Kreistag Bad Dürkheim",6698,"2026-03-30",6705,"2026-03-23",-7,-0.1,"-7"
"AfD Kreisverband Bad Kreuznach",3857,"2026-03-30",3839,"2026-03-23",18,0.47,"+18"
"AfD-Fraktion Stadtrat Bad Kreuznach",5837,"2026-03-30",5844,"2026-03-23",-7,-0.12,"-7"
"AfD Bernkastel-Wittlich",9001,"2026-03-30",9014,"2026-03-23",-13,-0.14,"-13"
