"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1537,"2026-05-11"
"AfD-Fraktion Bautzen",NA,"2026-05-11"
"AfD Görlitz",5627,"2026-05-11"
"AfD-Fraktion im Kreistag Görlitz",5919,"2026-05-11"
"AfD für den Landkreis Görlitz",6059,"2026-05-11"
"AfD SOE",5947,"2026-05-11"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5947,"2026-05-11"
"AfD-Regionalgruppe Sächsische Schweiz",1874,"2026-05-11"
"AfD-Fraktion Dresden",8416,"2026-05-11"
"AfD Dresden",8986,"2026-05-11"
"AfD Meißen",18263,"2026-05-11"
"AfD-Fraktion im Kreistag Meißen",5385,"2026-05-11"
"AfD Stadtratsfraktion Meißen",3885,"2026-05-11"
"AfD-Freundeskreis Meißen",NA,"2026-05-11"
"AfD Mittelsachsen",3681,"2026-05-11"
"AfD Kreisverband Nordsachsen",3294,"2026-05-11"
"AfD-Fraktion Leipzig",9267,"2026-05-11"
"AfD Leipzig",8288,"2026-05-11"
"AfD-Kreisverband Landkreis Leipzig",7791,"2026-05-11"
"AfD Zwickau",14252,"2026-05-11"
"AfD - Stadtratsfraktion Chemnitz",4930,"2026-05-11"
"AfD Kreisverband Chemnitz",19232,"2026-05-11"
"AfD Erzgebirge",9143,"2026-05-11"
"AfD Vogtland",4723,"2026-05-11"
"AfD Kreisverband Eichsfeld",5866,"2026-05-11"
"AfD Erfurt",8795,"2026-05-11"
"AfD Gera",9328,"2026-05-11"
"AfD-Fraktion im Geraer Stadtrat",467,"2026-05-11"
"AfD Gera Jena SHK",8438,"2026-05-11"
"AfD Kreistagsfraktion Ahrweiler",5988,"2026-05-11"
"AfD Kreisverband Ahrweiler",5758,"2026-05-11"
"AfD Alzey-Worms",4670,"2026-05-11"
"AfD Kreistagsfraktion Alzey-Worms",3178,"2026-05-11"
"AfD Kreisverband Bad Dürkheim",6391,"2026-05-11"
"AfD-Fraktion im Kreistag Bad Dürkheim",6665,"2026-05-11"
"AfD Kreisverband Bad Kreuznach",4229,"2026-05-11"
"AfD-Fraktion Stadtrat Bad Kreuznach",5812,"2026-05-11"
"AfD Bernkastel-Wittlich",8977,"2026-05-11"
